vulnerability_id,cve_id,vulnerability_name,severity,cvss_score,affected_asset,patch_available,status
VUL00001,CVE-2015-40451,Buffer Overflow,Medium,4.3,MKT-SRV-0118,Yes,Patched
VUL00002,CVE-2023-12686,Privilege Escalation,Critical,9.6,ENG-PRT-0068,No,Open
VUL00003,CVE-2020-83829,Insecure Deserialization,High,7.5,SAL-RTR-0054,Yes,In Progress
VUL00004,CVE-2021-59462,Open Redirect,Low,3.4,IT-SRV-0007,Yes,Patched
VUL00005,CVE-2018-60741,Insecure Deserialization,High,7.9,OPS-RTR-0082,No,Open
VUL00006,CVE-2015-38149,Denial of Service,High,7.6,HR-PRT-0029,Yes,Patched
VUL00007,CVE-2021-21521,Missing Security Patch,High,8.3,IT-IOT-0059,Yes,Patched
VUL00008,CVE-2021-61731,Cross-Site Scripting (XSS),Medium,6.0,FIN-MOB-0034,No,Won't Fix
VUL00009,CVE-2019-8183,Privilege Escalation,High,7.8,LEG-RTR-0060,Yes,Patched
VUL00010,CVE-2026-33532,Sensitive Data Exposure,High,7.3,LEG-SRV-0054,Yes,In Progress
VUL00011,CVE-2024-43196,Sensitive Data Exposure,Critical,9.3,HR-MOB-0040,No,Open
VUL00012,CVE-2017-43621,Insecure Deserialization,High,8.5,FIN-LAP-0049,No,Won't Fix
VUL00013,CVE-2021-54981,Insecure Deserialization,Medium,4.7,ENG-MOB-0049,No,Won't Fix
VUL00014,CVE-2024-17296,Remote Code Execution,Critical,9.1,ENG-PC-0027,Yes,Patched
VUL00015,CVE-2019-37085,Buffer Overflow,Low,3.5,ENG-RTR-0027,No,Won't Fix
VUL00016,CVE-2017-57060,Denial of Service,High,7.4,HR-DB-0097,Yes,Closed
VUL00017,CVE-2015-66257,Insecure Deserialization,Low,3.2,MKT-IOT-0099,No,Won't Fix
VUL00018,CVE-2022-30104,Buffer Overflow,Low,1.7,OPS-RTR-0047,No,In Progress
VUL00019,CVE-2022-18916,Cross-Site Scripting (XSS),Critical,9.4,MKT-PC-0009,Yes,In Progress
VUL00020,CVE-2018-40905,Unpatched Software,High,8.1,LEG-FW-0106,No,Open
VUL00021,CVE-2018-50081,Unpatched Software,Low,0.4,MKT-DB-0042,No,Open
VUL00022,CVE-2024-19724,Security Misconfiguration,Medium,6.2,OPS-PRT-0031,Yes,Closed
VUL00023,CVE-2020-5281,Privilege Escalation,Medium,6.1,LEG-MOB-0002,Yes,In Progress
VUL00024,CVE-2021-86479,Broken Authentication,High,7.4,IT-FW-0090,No,In Progress
VUL00025,CVE-2016-12311,SQL Injection,High,8.6,MKT-DB-0024,No,In Progress
VUL00026,CVE-2016-61848,Open Redirect,Medium,5.3,SAL-LAP-0059,Yes,Closed
VUL00027,CVE-2025-31595,Sensitive Data Exposure,High,7.8,MKT-PRT-0003,Yes,Patched
VUL00028,CVE-2018-8221,Broken Authentication,Low,3.6,HR-DB-0072,No,Open
VUL00029,CVE-2015-78991,Privilege Escalation,Low,2.7,HR-PRT-0050,Yes,Patched
VUL00030,CVE-2021-12074,XML External Entity (XXE),Medium,6.6,MKT-FW-0055,No,Won't Fix
VUL00031,CVE-2021-29319,Insecure Deserialization,High,8.6,IT-DB-0042,No,Open
VUL00032,CVE-2023-66144,Path Traversal,Medium,5.3,SAL-LAP-0007,No,Open
VUL00033,CVE-2025-25699,Open Redirect,Low,1.7,SAL-FW-0090,Yes,Patched
VUL00034,CVE-2026-15042,Missing Security Patch,Medium,5.6,FIN-PRT-0042,Yes,Closed
VUL00035,CVE-2019-33042,Remote Code Execution,Critical,9.2,MKT-PC-0005,No,In Progress
VUL00036,CVE-2026-4785,Insecure Deserialization,Medium,6.5,FIN-FW-0077,Yes,In Progress
VUL00037,CVE-2019-18298,Server-Side Request Forgery (SSRF),Medium,5.0,LEG-PC-0021,No,Open
VUL00038,CVE-2015-32209,Weak Password Policy,Low,3.7,LEG-FW-0105,No,Open
VUL00039,CVE-2026-58039,Insecure Direct Object Reference,High,7.7,HR-FW-0132,No,Open
VUL00040,CVE-2023-50438,Server-Side Request Forgery (SSRF),Low,3.1,HR-RTR-0088,No,In Progress
VUL00041,CVE-2021-49018,Path Traversal,Low,1.9,ENG-SW-0021,Yes,In Progress
VUL00042,CVE-2017-16414,Command Injection,Medium,4.5,OPS-PC-0126,Yes,Patched
VUL00043,CVE-2022-11575,Weak Password Policy,Low,2.4,ENG-SW-0091,Yes,Closed
VUL00044,CVE-2020-35543,Remote Code Execution,Medium,6.1,HR-FW-0083,No,Won't Fix
VUL00045,CVE-2019-82075,Weak Password Policy,Medium,5.0,OPS-DB-0071,No,Won't Fix
