asset_id,asset_name,asset_type,owner,department,criticality,operating_system
AST00001,OPS-SRV-0001,Server,Mario,Operations,Medium,Windows Server 2019
AST00002,FIN-MOB-0001,Mobile Device,Edward,Finance,Low,iOS 17
AST00003,IT-PC-0001,Workstation,Debra,IT,Low,Windows 11
AST00004,FIN-FW-0001,Firewall,Charles,Finance,Low,PAN-OS
AST00005,HR-IOT-0001,IoT Device,Amanda,HR,Low,Embedded Firmware
AST00006,HR-IOT-0002,IoT Device,Michael,HR,Medium,Embedded Firmware
AST00007,IT-PC-0002,Workstation,Brian,IT,Medium,Windows 10
AST00008,MKT-DB-0001,Database,William,Marketing,Low,Windows Server 2022
AST00009,MKT-MOB-0001,Mobile Device,Benjamin,Marketing,High,iOS 17
AST00010,FIN-IOT-0001,IoT Device,Ryan,Finance,Medium,Embedded Firmware
AST00011,OPS-LAP-0001,Laptop,Chad,Operations,Medium,Windows 10
AST00012,HR-IOT-0003,IoT Device,Christopher,HR,Low,Embedded Firmware
AST00013,OPS-PRT-0001,Printer,Roger,Operations,Medium,Embedded Firmware
AST00014,OPS-RTR-0001,Router,Margaret,Operations,Low,Cisco IOS
AST00015,IT-LAP-0001,Laptop,David,IT,Medium,macOS Ventura
AST00016,OPS-PRT-0002,Printer,Jeffrey,Operations,Low,Embedded Firmware
AST00017,FIN-MOB-0002,Mobile Device,Courtney,Finance,Medium,Android 14
AST00018,SAL-PRT-0001,Printer,Stacie,Sales,Medium,Embedded Firmware
AST00019,OPS-SW-0001,Switch,Barbara,Operations,High,Arista EOS
AST00020,ENG-LAP-0001,Laptop,Randy,Engineering,High,macOS Sonoma
AST00021,ENG-LAP-0002,Laptop,Theresa,Engineering,Low,macOS Sonoma
AST00022,ENG-RTR-0001,Router,Brandon,Engineering,High,JunOS
AST00023,HR-PRT-0001,Printer,Michele,HR,Medium,Embedded Firmware
AST00024,ENG-PC-0001,Workstation,Keith,Engineering,Low,Windows 11
AST00025,SAL-FW-0001,Firewall,Drew,Sales,Medium,PAN-OS
AST00026,FIN-SRV-0001,Server,David,Finance,Medium,Ubuntu Server 22.04
AST00027,SAL-DB-0001,Database,Kyle,Sales,High,Ubuntu Server 22.04
AST00028,LEG-SW-0001,Switch,Lisa,Legal,High,Arista EOS
AST00029,IT-SRV-0001,Server,Henry,IT,Low,Windows Server 2022
AST00030,IT-FW-0001,Firewall,Bonnie,IT,Low,FortiOS
AST00031,SAL-RTR-0001,Router,Danielle,Sales,Low,Cisco IOS
AST00032,LEG-MOB-0001,Mobile Device,Nathan,Legal,Medium,Android 14
AST00033,SAL-MOB-0001,Mobile Device,Amy,Sales,Critical,iOS 17
AST00034,ENG-MOB-0001,Mobile Device,Bryan,Engineering,Medium,Android 14
AST00035,LEG-LAP-0001,Laptop,Brian,Legal,Medium,macOS Ventura
AST00036,HR-FW-0001,Firewall,Jamie,HR,Low,Cisco ASA OS
AST00037,ENG-SRV-0001,Server,Erin,Engineering,Low,Windows Server 2019
AST00038,FIN-PC-0001,Workstation,Ronald,Finance,Medium,Ubuntu Linux
AST00039,FIN-SW-0001,Switch,Lee,Finance,Medium,Cisco IOS
AST00040,IT-IOT-0001,IoT Device,Brenda,IT,Medium,Embedded Firmware
AST00041,OPS-IOT-0001,IoT Device,Shawn,Operations,Medium,Embedded Firmware
AST00042,FIN-PRT-0001,Printer,Kevin,Finance,Critical,Embedded Firmware
AST00043,ENG-PRT-0001,Printer,Laura,Engineering,Medium,Embedded Firmware
AST00044,FIN-SW-0002,Switch,Holly,Finance,High,Arista EOS
AST00045,SAL-MOB-0002,Mobile Device,John,Sales,Low,Android 14
AST00046,SAL-MOB-0003,Mobile Device,Autumn,Sales,Critical,Android 14
AST00047,FIN-RTR-0001,Router,Alicia,Finance,Medium,Cisco IOS
AST00048,OPS-FW-0001,Firewall,Nancy,Operations,Medium,FortiOS
AST00049,OPS-FW-0002,Firewall,Jessica,Operations,Medium,Cisco ASA OS
AST00050,IT-DB-0001,Database,Keith,IT,High,Windows Server 2022
AST00051,IT-MOB-0001,Mobile Device,Tina,IT,Medium,iOS 17
AST00052,HR-RTR-0001,Router,David,HR,Medium,Cisco IOS
AST00053,OPS-PRT-0003,Printer,Robert,Operations,High,Embedded Firmware
AST00054,OPS-LAP-0002,Laptop,Katherine,Operations,Low,Windows 11
AST00055,ENG-FW-0001,Firewall,Edwin,Engineering,Medium,PAN-OS
AST00056,HR-PRT-0002,Printer,Tracy,HR,Critical,Embedded Firmware
AST00057,FIN-LAP-0001,Laptop,Benjamin,Finance,Critical,Windows 11
AST00058,ENG-SRV-0002,Server,Elizabeth,Engineering,Medium,Ubuntu Server 22.04
AST00059,FIN-DB-0001,Database,Kathy,Finance,Medium,Oracle Linux
AST00060,FIN-SRV-0002,Server,Ashley,Finance,Low,Windows Server 2022
AST00061,HR-SRV-0001,Server,Nancy,HR,Medium,CentOS 7
AST00062,SAL-IOT-0001,IoT Device,Lee,Sales,High,Embedded Firmware
AST00063,OPS-SRV-0002,Server,Heather,Operations,Medium,Windows Server 2022
AST00064,HR-PC-0001,Workstation,Brooke,HR,High,Ubuntu Linux
AST00065,FIN-MOB-0003,Mobile Device,Bethany,Finance,High,iOS 17
AST00066,LEG-FW-0001,Firewall,Stephen,Legal,High,Cisco ASA OS
AST00067,HR-RTR-0002,Router,Mary,HR,Low,Cisco IOS
AST00068,OPS-RTR-0002,Router,Shirley,Operations,Medium,Cisco IOS
AST00069,HR-SW-0001,Switch,Thomas,HR,High,Arista EOS
AST00070,SAL-MOB-0004,Mobile Device,Elizabeth,Sales,Low,iOS 17
AST00071,ENG-SRV-0003,Server,Bruce,Engineering,Medium,Windows Server 2022
AST00072,SAL-SRV-0001,Server,Jacqueline,Sales,Medium,Windows Server 2019
AST00073,HR-SW-0002,Switch,Deborah,HR,High,Arista EOS
