mapped_event_type,mitre_id,technique_name,tactic
Suspicious Process Execution,T1134.005,SID-History Injection,Stealth
Malware Detection,T1674,Input Injection,Execution
Phishing Email,T1190,Exploit Public-Facing Application,Initial Access
Suspicious Process Execution,T1070.010,Relocate Malware,Stealth
Configuration Change,T1037.003,Network Logon Script,Persistence
Data Exfiltration Attempt,T1030,Data Transfer Size Limits,Exfiltration
Suspicious Process Execution,T1216.001,PubPrn,Stealth
Brute Force,T1556.009,Conditional Access Policies,Credential Access
Port Scan,T1598.003,Spearphishing Link,Reconnaissance
Suspicious Process Execution,T1218.005,Mshta,Stealth
Data Exfiltration Attempt,T1011.001,Exfiltration Over Bluetooth,Exfiltration
Ransomware Detected,T1489,Service Stop,Impact
Configuration Change,T1546.013,PowerShell Profile,Persistence
Port Scan,T1087,Account Discovery,Discovery
DNS Tunneling Detected,T1001.003,Protocol or Service Impersonation,Command And Control
Lateral Movement Detected,T1021.008,Direct Cloud VM Connections,Lateral Movement
Port Scan,T1010,Application Window Discovery,Discovery
Configuration Change,T1053.005,Scheduled Task,Persistence
Configuration Change,T1112,Modify Registry,Persistence
Firewall Rule Change,T1556.006,Multi-Factor Authentication,Defense Impairment
DNS Tunneling Detected,T1205.002,Socket Filters,Command And Control
Configuration Change,T1205.001,Port Knocking,Persistence
Configuration Change,T1505.001,SQL Stored Procedures,Persistence
Malware Detection,T1574.009,Path Interception by Unquoted Path,Execution
DNS Tunneling Detected,T1132.001,Standard Encoding,Command And Control
Privilege Escalation,T1546.012,Image File Execution Options Injection,Privilege Escalation
File Access,T1213.002,Sharepoint,Collection
File Access,T1557.001,Name Resolution Poisoning and SMB Relay,Collection
Privilege Escalation,T1053.006,Systemd Timers,Privilege Escalation
DNS Tunneling Detected,T1132.002,Non-Standard Encoding,Command And Control
External / Not Directly Observed,T1683.001,Written Content,Resource Development
Data Exfiltration Attempt,T1041,Exfiltration Over C2 Channel,Exfiltration
Data Exfiltration Attempt,T1052,Exfiltration Over Physical Medium,Exfiltration
Suspicious Process Execution,T1202,Indirect Command Execution,Stealth
Suspicious Process Execution,T1036.008,Masquerade File Type,Stealth
Port Scan,T1518.002,Backup Software Discovery,Discovery
Malware Detection,T1569.002,Service Execution,Execution
DNS Tunneling Detected,T1568.001,Fast Flux DNS,Command And Control
Port Scan,T1614.001,System Language Discovery,Discovery
External / Not Directly Observed,T1608,Stage Capabilities,Resource Development
Privilege Escalation,T1547.006,Kernel Modules and Extensions,Privilege Escalation
Privilege Escalation,T1543.005,Container Service,Privilege Escalation
Suspicious Process Execution,T1055.013,Process Doppelgänging,Stealth
DNS Tunneling Detected,T1219.001,IDE Tunneling,Command And Control
Configuration Change,T1556.008,Network Provider DLL,Persistence
Privilege Escalation,T1098.004,SSH Authorized Keys,Privilege Escalation
Malware Detection,T1559,Inter-Process Communication,Execution
Port Scan,T1591.001,Determine Physical Locations,Reconnaissance
Configuration Change,T1556.007,Hybrid Identity,Persistence
Brute Force,T1557.002,ARP Cache Poisoning,Credential Access
Suspicious Process Execution,T1220,XSL Script Processing,Stealth
External / Not Directly Observed,T1583.006,Web Services,Resource Development
External / Not Directly Observed,T1583.004,Server,Resource Development
Brute Force,T1056,Input Capture,Credential Access
Port Scan,T1592,Gather Victim Host Information,Reconnaissance
Data Exfiltration Attempt,T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,Exfiltration
Configuration Change,T1136.003,Cloud Account,Persistence
Malware Detection,T1610,Deploy Container,Execution
Malware Detection,T1059,Command and Scripting Interpreter,Execution
Brute Force,T1555,Credentials from Password Stores,Credential Access
Malware Detection,T1574,Hijack Execution Flow,Execution
Brute Force,T1003,OS Credential Dumping,Credential Access
External / Not Directly Observed,T1586,Compromise Accounts,Resource Development
File Access,T1602.001,SNMP (MIB Dump),Collection
Configuration Change,T1137,Office Application Startup,Persistence
Firewall Rule Change,T1647,Plist File Modification,Defense Impairment
Port Scan,T1590.002,DNS,Reconnaissance
Privilege Escalation,T1098.005,Device Registration,Privilege Escalation
Port Scan,T1087.004,Cloud Account,Discovery
Ransomware Detected,T1499.004,Application or System Exploitation,Impact
Suspicious Process Execution,T1055.003,Thread Execution Hijacking,Stealth
Malware Detection,T1574.014,AppDomainManager,Execution
Port Scan,T1018,Remote System Discovery,Discovery
Configuration Change,T1137.006,Add-ins,Persistence
Configuration Change,T1543.005,Container Service,Persistence
Brute Force,T1557,Adversary-in-the-Middle,Credential Access
Firewall Rule Change,T1685.004,Disable or Modify Linux Audit System Log,Defense Impairment
Brute Force,T1539,Steal Web Session Cookie,Credential Access
Malware Detection,T1059.010,AutoHotKey & AutoIT,Execution
Firewall Rule Change,T1556,Modify Authentication Process,Defense Impairment
Privilege Escalation,T1546.005,Trap,Privilege Escalation
Configuration Change,T1543.001,Launch Agent,Persistence
Privilege Escalation,T1055.004,Asynchronous Procedure Call,Privilege Escalation
Port Scan,T1595.002,Vulnerability Scanning,Reconnaissance
Suspicious Process Execution,T1218.015,Electron Applications,Stealth
Privilege Escalation,T1484.001,Group Policy Modification,Privilege Escalation
Phishing Email,T1200,Hardware Additions,Initial Access
Suspicious Process Execution,T1574.008,Path Interception by Search Order Hijacking,Stealth
Configuration Change,T1546.003,Windows Management Instrumentation Event Subscription,Persistence
Malware Detection,T1574.006,Dynamic Linker Hijacking,Execution
Configuration Change,T1653,Power Settings,Persistence
Malware Detection,T1053,Scheduled Task/Job,Execution
Malware Detection,T1053.002,At,Execution
Privilege Escalation,T1037.001,Logon Script (Windows),Privilege Escalation
External / Not Directly Observed,T1587.004,Exploits,Resource Development
Port Scan,T1593.001,Social Media,Reconnaissance
Configuration Change,T1137.001,Office Template Macros,Persistence
Suspicious Process Execution,T1678,Delay Execution,Stealth
Configuration Change,T1133,External Remote Services,Persistence
DNS Tunneling Detected,T1104,Multi-Stage Channels,Command And Control
Suspicious Process Execution,T1497,Virtualization/Sandbox Evasion,Stealth
External / Not Directly Observed,T1608.005,Link Target,Resource Development
Ransomware Detected,T1485.001,Lifecycle-Triggered Deletion,Impact
DNS Tunneling Detected,T1132,Data Encoding,Command And Control
Port Scan,T1007,System Service Discovery,Discovery
Suspicious Process Execution,T1036.010,Masquerade Account Name,Stealth
Suspicious Process Execution,T1620,Reflective Code Loading,Stealth
DNS Tunneling Detected,T1568.003,DNS Calculation,Command And Control
Configuration Change,T1547.010,Port Monitors,Persistence
External / Not Directly Observed,T1588.005,Exploits,Resource Development
Privilege Escalation,T1055.005,Thread Local Storage,Privilege Escalation
Malware Detection,T1569,System Services,Execution
Suspicious Process Execution,T1055.002,Portable Executable Injection,Stealth
Configuration Change,T1547.012,Print Processors,Persistence
Suspicious Process Execution,T1078.003,Local Accounts,Stealth
Privilege Escalation,T1543.004,Launch Daemon,Privilege Escalation
External / Not Directly Observed,T1585,Establish Accounts,Resource Development
Configuration Change,T1176,Software Extensions,Persistence
Phishing Email,T1078.003,Local Accounts,Initial Access
DNS Tunneling Detected,T1071.003,Mail Protocols,Command And Control
Firewall Rule Change,T1690,Prevent Command History Logging,Defense Impairment
Suspicious Process Execution,T1127,Trusted Developer Utilities Proxy Execution,Stealth
Port Scan,T1497.001,System Checks,Discovery
External / Not Directly Observed,T1608.004,Drive-by Target,Resource Development
Privilege Escalation,T1543.001,Launch Agent,Privilege Escalation
Port Scan,T1589.002,Email Addresses,Reconnaissance
External / Not Directly Observed,T1584.001,Domains,Resource Development
Suspicious Process Execution,T1622,Debugger Evasion,Stealth
Privilege Escalation,T1078.001,Default Accounts,Privilege Escalation
Configuration Change,T1053.002,At,Persistence
File Access,T1557.004,Evil Twin,Collection
File Access,T1557.002,ARP Cache Poisoning,Collection
Port Scan,T1201,Password Policy Discovery,Discovery
Phishing Email,T1189,Drive-by Compromise,Initial Access
