asset_id,asset_name,asset_type,owner,department,criticality,criticality_score,operating_system
AST00001,HR-LAP-0089,Laptop,Destiny,HR,Medium,0.5,Windows 11
AST00002,OPS-MOB-0070,Mobile Device,Christopher,Operations,Low,0.25,iOS 17
AST00003,FIN-RTR-0017,Router,Michael,Finance,Medium,0.5,Cisco IOS
AST00004,MKT-SW-0056,Switch,Dustin,Marketing,Medium,0.5,Arista EOS
AST00005,HR-DB-0048,Database,Michael,HR,High,0.75,Ubuntu Server 22.04
AST00006,HR-MOB-0068,Mobile Device,Johnathan,HR,High,0.75,Android 14
AST00007,FIN-DB-0008,Database,Crystal,Finance,High,0.75,Oracle Linux
AST00008,ENG-SRV-0075,Server,Joshua,Engineering,Medium,0.5,Ubuntu Server 22.04
AST00009,HR-SW-0081,Switch,Joseph,HR,High,0.75,Cisco IOS
AST00010,ENG-LAP-0007,Laptop,Diane,Engineering,Low,0.25,macOS Ventura
AST00011,MKT-PRT-0028,Printer,Samantha,Marketing,Low,0.25,Embedded Firmware
AST00012,ENG-IOT-0082,IoT Device,Rodney,Engineering,Low,0.25,Embedded Firmware
AST00013,IT-PC-0064,Workstation,Cynthia,IT,Medium,0.5,Windows 11
AST00014,LEG-MOB-0069,Mobile Device,Thomas,Legal,High,0.75,Android 14
AST00015,ENG-PRT-0056,Printer,Veronica,Engineering,High,0.75,Embedded Firmware
AST00016,MKT-FW-0072,Firewall,Lauren,Marketing,Medium,0.5,PAN-OS
AST00017,IT-LAP-0012,Laptop,Jessica,IT,High,0.75,macOS Sonoma
AST00018,MKT-FW-0124,Firewall,Scott,Marketing,High,0.75,FortiOS
AST00019,LEG-RTR-0087,Router,Courtney,Legal,High,0.75,Cisco IOS
AST00020,IT-PC-0092,Workstation,Christina,IT,Critical,1.0,Windows 10
AST00021,MKT-RTR-0120,Router,Justin,Marketing,High,0.75,JunOS
AST00022,OPS-MOB-0024,Mobile Device,Jacob,Operations,Medium,0.5,Android 14
AST00023,ENG-SRV-0065,Server,Michael,Engineering,Medium,0.5,Windows Server 2022
AST00024,IT-SRV-0132,Server,Whitney,IT,Low,0.25,Windows Server 2022
AST00025,SAL-SW-0065,Switch,Taylor,Sales,High,0.75,Arista EOS
AST00026,IT-IOT-0127,IoT Device,Leslie,IT,Medium,0.5,Embedded Firmware
AST00027,FIN-LAP-0026,Laptop,Robert,Finance,Low,0.25,macOS Sonoma
AST00028,MKT-SRV-0106,Server,Chris,Marketing,High,0.75,CentOS 7
AST00029,SAL-DB-0077,Database,Stephen,Sales,Medium,0.5,Oracle Linux
AST00030,HR-SRV-0099,Server,Joshua,HR,High,0.75,Windows Server 2022
AST00031,IT-PC-0008,Workstation,Scott,IT,Low,0.25,Ubuntu Linux
AST00032,FIN-SRV-0030,Server,Javier,Finance,High,0.75,CentOS 7
AST00033,IT-DB-0069,Database,Jessica,IT,Low,0.25,Windows Server 2022
AST00034,LEG-PRT-0074,Printer,Jessica,Legal,Low,0.25,Embedded Firmware
AST00035,MKT-PC-0110,Workstation,Samantha,Marketing,Medium,0.5,Windows 11
AST00036,OPS-SW-0039,Switch,Taylor,Operations,Medium,0.5,Arista EOS
AST00037,MKT-PRT-0058,Printer,Thomas,Marketing,Medium,0.5,Embedded Firmware
AST00038,ENG-LAP-0004,Laptop,Amanda,Engineering,Medium,0.5,macOS Ventura
AST00039,FIN-FW-0060,Firewall,Pamela,Finance,High,0.75,Cisco ASA OS
AST00040,IT-PRT-0080,Printer,Kevin,IT,High,0.75,Embedded Firmware
AST00041,HR-MOB-0059,Mobile Device,Kristin,HR,Low,0.25,Android 14
AST00042,HR-FW-0001,Firewall,Jamie,HR,Low,0.25,Cisco ASA OS
AST00043,SAL-PRT-0110,Printer,Karen,Sales,Medium,0.5,Embedded Firmware
AST00044,LEG-FW-0018,Firewall,Austin,Legal,Low,0.25,PAN-OS
AST00045,MKT-SRV-0117,Server,Rebecca,Marketing,Low,0.25,CentOS 7
AST00046,IT-IOT-0001,IoT Device,Brenda,IT,Medium,0.5,Embedded Firmware
AST00047,SAL-MOB-0079,Mobile Device,Tara,Sales,Medium,0.5,Android 14
AST00048,IT-LAP-0056,Laptop,Robert,IT,Critical,1.0,macOS Ventura
AST00049,ENG-FW-0027,Firewall,David,Engineering,Medium,0.5,Cisco ASA OS
AST00050,IT-SRV-0036,Server,Ashley,IT,Low,0.25,Windows Server 2022
AST00051,MKT-LAP-0050,Laptop,Ricardo,Marketing,Medium,0.5,Windows 11
AST00052,IT-PC-0095,Workstation,Shannon,IT,Medium,0.5,Windows 11
AST00053,SAL-SRV-0066,Server,Michael,Sales,Medium,0.5,Windows Server 2019
AST00054,LEG-DB-0104,Database,Lawrence,Legal,Low,0.25,Oracle Linux
AST00055,HR-MOB-0030,Mobile Device,Jeffrey,HR,Critical,1.0,iOS 17
AST00056,OPS-FW-0102,Firewall,Angela,Operations,High,0.75,Cisco ASA OS
